op_idx,kind,ret,max_free,num_free
425,alloc,1000,7,30
426,alloc,-1,7,30
427,alloc,-1,7,30
428,alloc,1048,7,29
429,alloc,1025,7,29
430,alloc,1062,6,32
431,alloc,1025,6,32
432,alloc,-1,7,34
433,alloc,-1,7,34
434,alloc,1008,7,33
435,alloc,1016,7,32
436,alloc,1053,7,31
437,alloc,-1,7,31
438,alloc,1003,7,30
439,alloc,-1,7,30
440,alloc,-1,7,30
441,alloc,1072,7,29
442,alloc,1022,7,29
443,alloc,1034,7,28
444,alloc,1062,5,27
445,alloc,1003,7,28
446,alloc,-1,7,30
447,alloc,1062,6,30
448,alloc,1000,6,29
449,alloc,-1,6,29
450,alloc,-1,6,32
451,alloc,-1,6,33
452,alloc,1003,7,34
453,alloc,1002,7,34
454,alloc,1008,7,33
455,alloc,1062,6,34
456,alloc,1062,6,34
457,alloc,1025,6,33
458,alloc,1008,6,32
459,alloc,-1,6,32
460,alloc,-1,6,33
461,alloc,1008,6,33
462,alloc,-1,7,35
463,alloc,1003,7,34
464,alloc,-1,7,34
465,alloc,1062,6,33
466,alloc,1037,6,32
467,alloc,1008,7,33
468,alloc,-1,7,35
469,alloc,-1,7,35
470,alloc,1003,7,34
471,alloc,1037,7,34
472,alloc,1002,7,34
473,alloc,1062,6,33
474,alloc,-1,7,35
475,alloc,1008,7,34
476,alloc,1008,7,34
477,alloc,1003,7,33
478,alloc,1037,7,32
479,alloc,-1,7,32
480,alloc,-1,7,32
481,alloc,1002,7,33
482,alloc,-1,7,34
483,alloc,1025,7,34
484,alloc,1025,7,34
485,alloc,1062,6,34
486,alloc,-1,7,35
487,alloc,-1,7,35
488,alloc,-1,7,35
489,alloc,1062,6,34
490,alloc,-1,7,35
491,alloc,1062,6,34
492,alloc,1000,6,33
493,alloc,1008,7,34
494,alloc,-1,7,35
495,alloc,1003,7,34
496,alloc,1062,6,33
497,alloc,-1,6,33
498,alloc,1025,7,34
499,alloc,1025,7,34
500,alloc,1037,7,34
501,alloc,1000,7,34
502,alloc,1025,7,33
503,alloc,-1,7,33
504,alloc,1003,7,32
505,alloc,-1,7,32
506,alloc,-1,7,33
507,alloc,1003,7,33
508,alloc,1008,7,32
509,alloc,1022,7,33
510,alloc,1037,7,32
511,alloc,1025,7,31
512,alloc,1002,7,30
513,alloc,-1,7,30
514,alloc,-1,7,30
515,alloc,-1,7,33
516,alloc,-1,7,33
517,alloc,1000,7,34
518,alloc,1000,7,34
519,alloc,1002,7,33
520,alloc,1003,7,34
521,alloc,1037,7,33
522,alloc,-1,7,33
523,alloc,1003,7,33
524,alloc,-1,7,33
525,alloc,1008,7,33
526,alloc,1062,6,33
527,alloc,-1,6,34
528,alloc,-1,6,34
529,alloc,1008,7,34
530,alloc,1037,7,34
531,alloc,1008,7,33
532,alloc,1003,7,32
533,alloc,1062,6,32
534,alloc,1025,6,31
535,alloc,1025,7,33
536,alloc,1037,7,34
537,alloc,1008,7,33
538,alloc,1002,7,34
539,alloc,1000,7,33
540,alloc,-1,7,33
541,alloc,-1,7,33
542,alloc,-1,7,34
543,alloc,-1,7,34
544,alloc,-1,7,34
545,alloc,1062,6,33
546,alloc,-1,7,34
547,alloc,1008,7,33
548,alloc,1037,7,32
549,alloc,1025,7,33
550,alloc,1003,7,32
551,alloc,1000,7,32
552,alloc,-1,7,35
553,alloc,1062,6,34
554,alloc,1037,7,34
555,alloc,1000,7,34
556,alloc,-1,7,35
557,alloc,-1,7,35
558,alloc,-1,7,35
559,alloc,1000,7,34
560,alloc,-1,7,34
561,alloc,-1,7,35
562,alloc,-1,7,35
563,alloc,1062,6,34
564,alloc,-1,6,34
565,alloc,-1,6,34
566,alloc,1002,7,34
567,alloc,-1,7,34
568,alloc,1000,7,33
569,alloc,-1,7,33
570,alloc,1025,7,34
571,alloc,-1,7,35
572,alloc,1025,7,34
573,alloc,1053,7,33
574,alloc,-1,7,35
575,alloc,-1,7,35
576,alloc,1003,7,34
577,alloc,1003,7,34
578,alloc,1002,7,33
579,alloc,1003,7,34
580,alloc,1037,7,34
581,alloc,1025,7,34
582,alloc,1037,7,33
583,alloc,1044,7,32
584,alloc,1053,7,31
585,alloc,1048,7,30
586,alloc,1008,7,29
587,alloc,1016,7,28
588,alloc,1003,7,27
589,alloc,1000,7,28
590,alloc,1062,5,28
591,alloc,-1,6,31
